,Pokemon,DPS,TDO,Battle_Stat,Max_CP_Lv40,Fast_Move,Charged_Move,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
388,Gulpin,5.655,83.7,15.1,866,Pound,Gunk Shot,316.0,Poison,,302.0,70.0,43.0,53.0,43.0,53.0,40.0,3.0,False
389,Gumshoos,12.261,238.5,439.6,2185,Bite,Hyper Fang,,,,,,,,,,,,
390,Gurdurr,10.054,221.4,225.0,2169,Low Kick,Brick Break,533.0,Fighting,,405.0,85.0,105.0,85.0,40.0,50.0,40.0,5.0,False
391,Guzzlord,14.86,534.9,1755.2,2887,Snarl,Brutal Swing,,,,,,,,,,,,
392,Gyarados,14.23,458.5,1321.3,3391,Waterfall,Hydro Pump,130.0,Water,Flying,540.0,95.0,125.0,79.0,60.0,100.0,81.0,1.0,False
393,Hakamo-o,9.663,191.1,172.4,1686,Dragon Tail,Dragon Claw,,,,,,,,,,,,
394,Happiny,2.803,42.9,0.9,371,Pound,Psychic,440.0,Normal,,220.0,100.0,5.0,5.0,15.0,65.0,30.0,4.0,False
395,Hariyama,15.19,431.1,1511.0,2829,Counter,Dynamic Punch,297.0,Fighting,,474.0,144.0,120.0,60.0,40.0,60.0,50.0,3.0,False
396,Hatenna,7.221,74.7,28.1,861,Confusion,Psychic,,,,,,,,,,,,
397,Hatterene,15.421,345.8,1268.0,2829,Confusion,Psychic,,,,,,,,,,,,
398,Hattrem,10.536,177.5,207.6,1634,Confusion,Psychic,,,,,,,,,,,,
399,Haunter,15.877,192.2,769.4,1963,Lick,Shadow Ball,93.0,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,1.0,False
400,Hawlucha,16.232,380.4,1626.7,2410,Wing Attack,Flying Press,701.0,Fighting,Flying,500.0,78.0,92.0,75.0,74.0,63.0,118.0,6.0,False
401,Haxorus,17.751,456.1,2551.2,3593,Dragon Tail,Dragon Claw,612.0,Dragon,,540.0,76.0,147.0,90.0,60.0,70.0,97.0,5.0,False
402,Heatmor,13.163,280.2,639.0,2395,Fire Spin,Flamethrower,631.0,Fire,,484.0,85.0,97.0,66.0,105.0,66.0,65.0,5.0,False
403,Heatran,15.492,549.1,2041.5,3754,Fire Spin,Flamethrower,485.0,Fire,Steel,600.0,91.0,90.0,106.0,130.0,106.0,77.0,4.0,True
404,Heliolisk,14.061,308.9,858.9,2600,Quick Attack,Thunderbolt,695.0,Electric,Normal,481.0,62.0,55.0,52.0,109.0,94.0,109.0,6.0,False
405,Helioptile,8.113,74.3,39.7,933,Quick Attack,Discharge,694.0,Electric,Normal,289.0,44.0,38.0,33.0,61.0,43.0,70.0,6.0,False
406,Heracross,14.909,411.5,1363.5,3101,Counter,Megahorn,214.0,Bug,Fighting,500.0,80.0,125.0,75.0,40.0,95.0,85.0,2.0,False
407,Herdier,8.645,150.6,97.3,1583,Lick,Play Rough,507.0,Normal,,370.0,65.0,80.0,65.0,35.0,65.0,60.0,5.0,False
408,Hippopotas,7.709,130.9,60.0,1358,Bite,Return,449.0,Ground,,330.0,68.0,72.0,78.0,38.0,42.0,32.0,4.0,False
409,Hippowdon,12.554,455.8,901.9,3085,Fire Fang,Earth Power,450.0,Ground,,525.0,108.0,112.0,118.0,68.0,72.0,47.0,4.0,False
410,Hisuian Arcanine,14.975,432.1,1451.0,3145,Fire Fang,Rock Slide,,,,,,,,,,,,
411,Hisuian Braviary,14.049,380.9,1056.2,2814,Air Slash,Brave Bird,,,,,,,,,,,,
412,Hisuian Electrode,12.12,273.1,486.2,2149,Thunder Shock,Wild Charge,,,,,,,,,,,,
413,Hisuian Growlithe,9.161,115.6,88.9,1322,Bite,Rock Slide,,,,,,,,,,,,
414,Hisuian Qwilfish,12.504,256.4,501.2,2136,Poison Jab,Sludge Bomb,,,,,,,,,,,,
415,Hisuian Sneasel,11.268,202.7,290.0,2051,Poison Jab,Close Combat,,,,,,,,,,,,
416,Hisuian Voltorb,7.271,85.8,33.0,1010,Tackle,Thunderbolt,,,,,,,,,,,,
417,Hitmonchan,12.127,271.2,483.7,2332,Counter,Return,107.0,Fighting,,455.0,50.0,105.0,79.0,35.0,110.0,76.0,1.0,False
418,Hitmonlee,13.153,271.9,618.7,2576,Double Kick,Return,106.0,Fighting,,455.0,50.0,120.0,53.0,35.0,110.0,87.0,1.0,False
419,Hitmontop,10.711,250.8,308.2,2156,Counter,Close Combat,237.0,Fighting,,455.0,50.0,95.0,95.0,35.0,110.0,70.0,2.0,False
420,Ho-Oh,16.123,663.6,2781.5,3863,Incinerate,Sacred Fire++,,,,,,,,,,,,
421,Honchkrow,18.098,355.7,2108.5,2711,Snarl,Sky Attack,430.0,Dark,Flying,505.0,100.0,125.0,52.0,105.0,52.0,71.0,4.0,False
422,Honedge,8.222,125.7,69.8,1390,Fury Cutter,Iron Head,679.0,Steel,Ghost,325.0,45.0,80.0,100.0,35.0,37.0,28.0,6.0,False
423,Hoopa (Confined),17.648,465.1,2556.4,3359,Confusion,Shadow Ball,720.0,Psychic,Ghost,600.0,80.0,110.0,60.0,150.0,130.0,70.0,6.0,True
424,Hoopa (Unbound),19.952,536.2,4259.4,4006,Confusion,Psychic,720.0,Psychic,Dark,680.0,80.0,160.0,60.0,170.0,130.0,80.0,6.0,True
425,Hoothoot,5.557,67.5,11.6,677,Peck,Sky Attack,163.0,Normal,Flying,262.0,60.0,30.0,30.0,36.0,56.0,50.0,2.0,False
426,Hoppip,5.38,51.3,8.0,600,Tackle,Grass Knot,187.0,Grass,Flying,250.0,35.0,35.0,40.0,35.0,55.0,50.0,2.0,False
427,Horsea,7.662,73.4,33.0,1056,Water Gun,Bubble Beam,116.0,Water,,295.0,30.0,40.0,70.0,70.0,25.0,60.0,1.0,False
428,Houndoom,14.939,323.1,1077.2,2635,Fire Fang,Foul Play,229.0,Dark,Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,2.0,False
429,Houndour,9.928,96.5,94.5,1234,Feint Attack,Flamethrower,228.0,Dark,Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,2.0,False
430,Huntail,11.475,248.7,375.8,2340,Water Gun,Aqua Tail,367.0,Water,,485.0,55.0,104.0,105.0,94.0,75.0,52.0,3.0,False
431,Hydreigon,17.53,558.1,3006.5,3625,Bite,Brutal Swing,635.0,Dark,Dragon,600.0,92.0,105.0,90.0,125.0,90.0,98.0,5.0,False
432,Hydreigon,17.53,558.1,3006.5,3625,Dragon Breath,Brutal Swing,635.0,Dark,Dragon,600.0,92.0,105.0,90.0,125.0,90.0,98.0,5.0,False
433,Hypno,9.906,304.6,296.1,2090,Confusion,Psychic,97.0,Psychic,,483.0,85.0,73.0,70.0,73.0,115.0,67.0,1.0,False
434,Igglybuff,6.026,43.6,9.5,535,Pound,Shadow Ball,174.0,Normal,Fairy,210.0,90.0,30.0,15.0,40.0,20.0,15.0,2.0,False
435,Illumise,8.9,199.0,140.3,1771,Tackle,Bug Buzz,314.0,Bug,,400.0,65.0,47.0,55.0,73.0,75.0,85.0,3.0,False
436,Impidimp,7.861,65.5,31.8,807,Bite,Play Rough,,,,,,,,,,,,
437,Incineroar,13.31,405.4,955.8,2996,Fire Fang,Dark Pulse,,,,,,,,,,,,
438,Indeedee (Female),12.24,316.1,579.6,2397,Extrasensory,Psychic,,,,,,,,,,,,
439,Indeedee (Male),13.692,292.4,750.4,2443,Extrasensory,Psychic,,,,,,,,,,,,
440,Infernape,15.944,363.7,1474.0,2683,Fire Spin,Blast Burn,392.0,Fire,Fighting,534.0,76.0,104.0,71.0,104.0,71.0,108.0,4.0,False
441,Inkay,5.991,71.8,15.4,927,Tackle,Night Slash,686.0,Dark,Psychic,288.0,53.0,54.0,53.0,37.0,46.0,45.0,6.0,False
442,Inteleon,16.21,330.3,1406.7,2964,Water Gun,Surf,,,,,,,,,,,,
443,Ivysaur,10.982,204.7,271.1,1699,Vine Whip,Power Whip,2.0,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False
444,Jangmo-o,7.317,89.3,35.0,969,Dragon Tail,Dragon Claw,,,,,,,,,,,,
445,Jellicent,11.238,361.2,512.7,2338,Bubble,Shadow Ball,593.0,Water,Ghost,480.0,100.0,60.0,70.0,85.0,105.0,60.0,5.0,False
446,Jigglypuff,7.189,74.3,27.6,724,Pound,Play Rough,39.0,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,False
447,Jirachi,16.124,604.2,2532.7,3265,Confusion,Doom Desire,385.0,Steel,Psychic,600.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,True
448,Jolteon,14.46,351.9,1064.0,2888,Thunder Shock,Thunderbolt,135.0,Electric,,525.0,65.0,65.0,60.0,110.0,95.0,130.0,1.0,False
449,Joltik,7.412,88.4,36.0,1023,Sucker Punch,Discharge,595.0,Bug,Electric,319.0,50.0,47.0,50.0,57.0,50.0,65.0,5.0,False
450,Jumpluff,7.597,204.6,89.7,1636,Infestation,Solar Beam,189.0,Grass,Flying,460.0,75.0,55.0,70.0,55.0,95.0,110.0,2.0,False
451,Jynx,14.989,307.4,1035.0,2555,Confusion,Avalanche,124.0,Ice,Psychic,455.0,65.0,50.0,35.0,115.0,95.0,95.0,1.0,False
452,Kabuto,8.157,102.7,55.7,1370,Scratch,Ancient Power,140.0,Rock,Water,355.0,30.0,80.0,90.0,55.0,45.0,55.0,1.0,False
453,Kabutops,12.55,297.6,588.3,2713,Waterfall,Stone Edge,141.0,Rock,Water,495.0,60.0,115.0,105.0,65.0,70.0,80.0,1.0,False
454,Kadabra,14.151,175.0,495.9,2059,Confusion,Shadow Ball,64.0,Psychic,,400.0,40.0,35.0,30.0,120.0,70.0,105.0,1.0,False
455,Kakuna,4.292,38.3,3.0,432,Bug Bite,Return,14.0,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False
456,Kangaskhan,10.194,315.8,334.5,2586,Mud Slap,Outrage,115.0,Normal,,490.0,105.0,95.0,80.0,40.0,80.0,90.0,1.0,False
457,Karrablast,9.03,97.2,71.5,1182,Fury Cutter,X-Scissor,588.0,Bug,,315.0,50.0,75.0,45.0,40.0,45.0,60.0,5.0,False
458,Kartana,20.374,428.9,3627.7,3677,Razor Leaf,Leaf Blade,,,,,,,,,,,,
459,Kecleon,9.073,218.4,163.1,2047,Lick,Foul Play,352.0,Normal,,440.0,60.0,90.0,70.0,60.0,120.0,40.0,3.0,False
460,Keldeo,15.142,487.2,1691.5,3698,Low Kick,Hydro Pump,,,,,,,,,,,,
461,Kingdra,12.736,362.1,747.9,2641,Dragon Breath,Outrage,230.0,Water,Dragon,540.0,75.0,95.0,95.0,95.0,95.0,85.0,2.0,False
462,Kingler,16.982,371.9,1821.4,2829,Bubble,Crabhammer,99.0,Water,,475.0,55.0,130.0,115.0,50.0,50.0,75.0,1.0,False
463,Kirlia,8.361,79.8,46.7,966,Confusion,Psychic,281.0,Psychic,Fairy,278.0,38.0,35.0,35.0,65.0,55.0,50.0,3.0,False
464,Klang,8.296,185.0,105.6,1847,Thunder Shock,Thunderbolt,600.0,Steel,,440.0,60.0,80.0,95.0,70.0,85.0,50.0,5.0,False
465,Klefki,10.019,221.2,222.5,1949,Tackle,Play Rough,707.0,Steel,Fairy,470.0,57.0,80.0,91.0,80.0,87.0,75.0,6.0,False
466,Klink,5.468,69.7,11.4,956,Volt Switch,Discharge,599.0,Steel,,300.0,40.0,55.0,70.0,45.0,60.0,30.0,5.0,False
467,Klinklang,10.318,278.8,306.3,2637,Thunder Shock,Hyper Beam,601.0,Steel,,520.0,60.0,100.0,115.0,70.0,85.0,90.0,5.0,False
468,Koffing,8.378,122.4,72.0,1214,Acid,Sludge Bomb,109.0,Poison,,340.0,40.0,65.0,95.0,60.0,45.0,35.0,1.0,False
469,Komala,11.751,261.3,423.9,2582,Rollout,Play Rough,,,,,,,,,,,,
470,Kommo-o,13.914,482.6,1300.2,3309,Dragon Tail,Dragon Claw,,,,,,,,,,,,
471,Krabby,9.898,111.7,108.3,1561,Bubble,Bubble Beam,98.0,Water,,325.0,30.0,105.0,90.0,25.0,25.0,50.0,1.0,False
472,Kricketot,2.585,20.6,0.4,401,Bug Bite,Struggle,401.0,Bug,,194.0,37.0,25.0,41.0,25.0,41.0,25.0,4.0,False
473,Kricketune,10.889,172.9,223.3,1653,Fury Cutter,Bug Buzz,402.0,Bug,,384.0,77.0,85.0,51.0,55.0,51.0,65.0,4.0,False
474,Krokorok,9.943,123.2,121.0,1418,Bite,Earthquake,552.0,Ground,Dark,351.0,60.0,82.0,45.0,45.0,45.0,74.0,5.0,False
475,Krookodile,14.535,403.1,1237.7,3046,Snarl,Earthquake,553.0,Ground,Dark,519.0,95.0,117.0,80.0,65.0,70.0,92.0,5.0,False
476,Kubfu,12.287,184.1,341.5,1697,Counter,Dynamic Punch,,,,,,,,,,,,
477,Kyogre,16.447,610.2,2714.9,4115,Waterfall,Surf,382.0,Water,,670.0,100.0,100.0,90.0,150.0,140.0,90.0,3.0,True
478,Kyurem,15.688,523.6,2021.6,3575,Dragon Breath,Draco Meteor,646.0,Dragon,Ice,660.0,125.0,130.0,90.0,130.0,90.0,95.0,5.0,True
479,Lairon,10.244,257.4,276.8,2056,Metal Claw,Heavy Slam,305.0,Steel,Rock,430.0,60.0,90.0,140.0,50.0,50.0,40.0,3.0,False
480,Lampent,9.745,149.5,138.3,1708,Ember,Flame Burst,608.0,Ghost,Fire,370.0,60.0,40.0,60.0,95.0,60.0,55.0,5.0,False
481,Landorus (Incarnate Forme),15.75,473.7,1850.7,3588,Mud Shot,Earth Power,645.0,Ground,Flying,600.0,89.0,125.0,90.0,115.0,80.0,101.0,5.0,True
482,Landorus (Therian Forme),16.398,485.7,2141.5,3922,Mud Shot,Earthquake,645.0,Ground,Flying,600.0,89.0,145.0,90.0,105.0,80.0,91.0,5.0,True
483,Lanturn,9.926,296.3,289.7,2085,Water Gun,Surf,171.0,Water,Electric,460.0,125.0,58.0,58.0,76.0,76.0,67.0,2.0,False
484,Lapras,10.813,414.1,523.6,2641,Water Gun,Surf,131.0,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,1.0,False
485,Larvesta,10.515,143.3,166.6,1496,Bug Bite,Bug Buzz,636.0,Bug,Fire,360.0,55.0,85.0,55.0,50.0,55.0,60.0,5.0,False
486,Larvitar,7.37,84.0,33.6,1040,Bite,Return,246.0,Rock,Ground,300.0,50.0,64.0,50.0,45.0,50.0,41.0,2.0,False
487,Latias,14.646,543.8,1708.3,3510,Dragon Breath,Psychic,380.0,Dragon,Psychic,600.0,80.0,80.0,90.0,110.0,130.0,110.0,3.0,True
488,Latios,17.077,551.5,2746.2,3812,Dragon Breath,Psychic,381.0,Dragon,Psychic,600.0,80.0,90.0,80.0,130.0,110.0,110.0,3.0,True
489,Leafeon,13.939,402.9,1091.3,2944,Razor Leaf,Leaf Blade,470.0,Grass,,525.0,65.0,110.0,130.0,60.0,65.0,95.0,4.0,False
490,Leavanny,14.051,344.0,954.2,2580,Bug Bite,Leaf Blade,542.0,Bug,Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0,5.0,False
491,Ledian,7.445,161.4,66.6,1346,Bug Bite,Bug Buzz,166.0,Bug,Flying,390.0,55.0,35.0,50.0,55.0,110.0,85.0,2.0,False
492,Ledyba,5.029,62.7,8.0,728,Bug Bite,Aerial Ace,165.0,Bug,Flying,265.0,40.0,20.0,30.0,40.0,80.0,55.0,2.0,False
493,Lickilicky,10.292,359.8,392.1,2467,Lick,Hyper Beam,463.0,Normal,,515.0,110.0,85.0,95.0,80.0,95.0,50.0,4.0,False
494,Lickitung,7.374,172.7,69.3,1411,Lick,Hyper Beam,108.0,Normal,,385.0,90.0,55.0,75.0,60.0,75.0,30.0,1.0,False
495,Liepard,11.929,177.3,301.0,1846,Snarl,Return,510.0,Dark,,446.0,64.0,88.0,50.0,88.0,50.0,106.0,5.0,False
496,Lileep,7.479,154.2,64.5,1291,Acid,Grass Knot,345.0,Rock,Grass,355.0,66.0,41.0,77.0,61.0,87.0,23.0,3.0,False
497,Lilligant,12.816,282.7,595.2,2550,Hidden Power (Grass),Solar Beam,549.0,Grass,,480.0,70.0,60.0,75.0,110.0,75.0,90.0,5.0,False
498,Lillipup,6.862,68.8,22.2,915,Tackle,Thunderbolt,506.0,Normal,,275.0,45.0,60.0,45.0,25.0,45.0,55.0,5.0,False
499,Linoone,9.085,181.2,135.9,1662,Tackle,Grass Knot,264.0,Normal,,420.0,78.0,70.0,61.0,50.0,61.0,100.0,3.0,False
500,Litleo,9.583,146.1,128.6,1425,Fire Fang,Flamethrower,667.0,Fire,Normal,369.0,62.0,50.0,58.0,73.0,54.0,72.0,6.0,False
501,Litten,8.316,77.6,44.6,1035,Scratch,Flamethrower,,,,,,,,,,,,
502,Litwick,6.656,79.3,23.4,1006,Ember,Flame Burst,607.0,Ghost,Fire,275.0,50.0,30.0,55.0,65.0,55.0,20.0,5.0,False
503,Lombre,8.245,130.3,73.1,1197,Bubble,Grass Knot,271.0,Water,Grass,340.0,60.0,50.0,50.0,60.0,70.0,50.0,3.0,False
504,Lopunny,10.366,267.6,298.1,2059,Pound,Hyper Beam,428.0,Normal,,480.0,65.0,76.0,84.0,54.0,96.0,105.0,4.0,False
505,Lotad,4.954,42.7,5.2,598,Water Gun,Bubble Beam,270.0,Water,Grass,220.0,40.0,30.0,30.0,40.0,50.0,30.0,3.0,False
506,Lotad,4.954,42.7,5.2,598,Water Gun,Energy Ball,270.0,Water,Grass,220.0,40.0,30.0,30.0,40.0,50.0,30.0,3.0,False
507,Loudred,9.393,132.7,110.0,1327,Bite,Return,294.0,Normal,,360.0,84.0,71.0,43.0,71.0,43.0,48.0,3.0,False
508,Lucario,18.621,384.2,2480.6,2703,Counter,Aura Sphere,448.0,Fighting,Steel,525.0,70.0,110.0,70.0,115.0,70.0,90.0,4.0,False
509,Ludicolo,11.205,304.5,428.3,2323,Bubble,Leaf Storm,272.0,Water,Grass,480.0,80.0,70.0,70.0,90.0,100.0,70.0,3.0,False
510,Lugia,16.186,912.7,3870.5,3703,Extrasensory,Aeroblast++,249.0,Psychic,Flying,680.0,106.0,90.0,130.0,90.0,154.0,110.0,2.0,True
511,Lumineon,8.376,198.9,116.9,1814,Waterfall,Blizzard,457.0,Water,,460.0,69.0,69.0,76.0,69.0,86.0,91.0,4.0,False
512,Lunala,17.499,695.4,3726.2,4035,Confusion,Shadow Ball,,,,,,,,,,,,
513,Lunatone,12.258,317.3,584.5,2327,Rock Throw,Psychic,337.0,Rock,Psychic,440.0,70.0,55.0,65.0,95.0,85.0,70.0,3.0,False
514,Lurantis,12.907,308.2,662.7,2398,Fury Cutter,Leaf Blade,,,,,,,,,,,,
515,Luvdisc,5.032,69.9,8.9,848,Water Gun,Water Pulse,370.0,Water,,330.0,43.0,30.0,55.0,40.0,65.0,97.0,3.0,False
516,Luxio,11.474,148.9,225.0,1486,Spark,Wild Charge,404.0,Electric,,363.0,60.0,85.0,49.0,60.0,49.0,60.0,4.0,False
517,Luxray,15.642,380.5,1456.3,2888,Spark,Wild Charge,405.0,Electric,,523.0,80.0,120.0,79.0,95.0,79.0,70.0,4.0,False
518,Lycanroc (Dusk Form),13.855,292.1,776.9,2678,Rock Throw,Stone Edge,,,,,,,,,,,,
519,Lycanroc (Midday Form),13.855,292.1,776.9,2678,Rock Throw,Stone Edge,,,,,,,,,,,,
520,Lycanroc (Midnight Form),13.195,325.7,748.3,2744,Rock Throw,Stone Edge,,,,,,,,,,,,
521,Machamp,16.211,434.6,1851.5,3056,Counter,Dynamic Punch,68.0,Fighting,,505.0,90.0,130.0,80.0,65.0,85.0,55.0,1.0,False
522,Machoke,12.548,249.9,493.8,2031,Karate Chop,Dynamic Punch,67.0,Fighting,,405.0,80.0,100.0,70.0,50.0,60.0,45.0,1.0,False
523,Machop,9.14,115.1,87.8,1278,Karate Chop,Return,66.0,Fighting,,305.0,70.0,80.0,50.0,35.0,35.0,35.0,1.0,False
524,Magby,9.425,106.6,89.3,1323,Karate Chop,Flamethrower,240.0,Fire,,365.0,45.0,75.0,37.0,70.0,55.0,83.0,2.0,False
525,Magcargo,9.317,202.4,163.7,1702,Rock Throw,Overheat,219.0,Fire,Rock,410.0,50.0,50.0,120.0,80.0,80.0,30.0,2.0,False
526,Magikarp,1.63,11.3,0.0,274,Splash,Return,129.0,Water,,200.0,20.0,10.0,55.0,15.0,20.0,80.0,1.0,False
527,Magikarp,1.63,11.3,0.0,274,Splash,Struggle,129.0,Water,,200.0,20.0,10.0,55.0,15.0,20.0,80.0,1.0,False
528,Magmar,12.222,255.1,465.8,2394,Karate Chop,Flamethrower,126.0,Fire,,495.0,65.0,95.0,57.0,100.0,85.0,93.0,1.0,False
529,Magmortar,14.901,379.0,1253.9,3132,Fire Spin,Return,467.0,Fire,,540.0,75.0,95.0,67.0,125.0,95.0,83.0,4.0,False
530,Magnemite,10.558,107.6,126.7,1362,Thunder Shock,Thunderbolt,81.0,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,1.0,False
531,Magneton,13.563,263.3,656.9,2485,Thunder Shock,Discharge,82.0,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,1.0,False
532,Magnezone,15.677,447.6,1724.7,3205,Spark,Wild Charge,462.0,Electric,Steel,535.0,70.0,70.0,115.0,130.0,90.0,60.0,4.0,False
533,Makuhita,6.922,63.3,21.0,817,Tackle,Return,296.0,Fighting,,237.0,72.0,60.0,30.0,20.0,30.0,25.0,3.0,False
534,Malamar,11.443,307.3,460.5,2359,Psycho Cut,Foul Play,687.0,Dark,Psychic,482.0,86.0,92.0,88.0,68.0,75.0,73.0,6.0,False
535,Mamoswine,16.743,480.8,2256.5,3328,Mud Slap,Avalanche,473.0,Ice,Ground,530.0,110.0,130.0,80.0,70.0,60.0,80.0,4.0,False
536,Manaphy,13.161,493.2,1124.3,3265,Bubble,Surf,490.0,Water,,600.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,False
537,Mandibuzz,8.983,352.5,255.5,2138,Snarl,Foul Play,630.0,Dark,Flying,510.0,110.0,65.0,105.0,55.0,95.0,80.0,5.0,False
538,Manectric,15.139,279.0,968.0,2340,Thunder Fang,Wild Charge,310.0,Electric,,475.0,70.0,75.0,60.0,105.0,60.0,105.0,3.0,False
539,Mankey,9.066,82.4,61.4,1164,Karate Chop,Cross Chop,56.0,Fighting,,305.0,40.0,80.0,35.0,35.0,45.0,70.0,1.0,False
540,Mantine,8.462,251.9,152.6,2108,Wing Attack,Aerial Ace,226.0,Water,Flying,465.0,65.0,40.0,70.0,80.0,140.0,70.0,2.0,False
541,Mantyke,6.282,120.9,30.0,1248,Bubble,Aerial Ace,458.0,Water,Flying,345.0,45.0,20.0,50.0,60.0,120.0,50.0,4.0,False
542,Maractus,12.371,244.0,461.9,2274,Poison Jab,Solar Beam,556.0,Grass,,461.0,75.0,86.0,67.0,106.0,67.0,60.0,5.0,False
543,Mareanie,6.331,83.5,21.2,972,Poison Sting,Gunk Shot,,,,,,,,,,,,
544,Mareep,8.217,86.3,47.9,991,Thunder Shock,Thunderbolt,179.0,Electric,,280.0,55.0,40.0,40.0,65.0,45.0,35.0,2.0,False
545,Marill,3.319,46.5,1.7,461,Tackle,Aqua Tail,183.0,Water,Fairy,250.0,70.0,20.0,50.0,20.0,50.0,40.0,2.0,False
546,Marowak,9.13,216.5,164.8,1835,Mud Slap,Earthquake,105.0,Ground,,425.0,60.0,80.0,110.0,50.0,80.0,45.0,1.0,False
547,Marshtomp,10.353,198.8,220.7,1776,Water Gun,Surf,259.0,Water,Ground,405.0,70.0,85.0,70.0,60.0,70.0,50.0,3.0,False
548,Masquerain,10.178,217.9,229.8,2270,Air Slash,Silver Wind,284.0,Bug,Flying,414.0,70.0,60.0,62.0,80.0,82.0,60.0,3.0,False
549,Mawile,10.135,166.8,173.6,1634,Fire Fang,Play Rough,303.0,Steel,Fairy,380.0,50.0,85.0,85.0,55.0,55.0,50.0,3.0,False
550,Medicham,8.968,176.7,127.4,1431,Counter,Dynamic Punch,308.0,Fighting,Psychic,410.0,60.0,60.0,75.0,60.0,75.0,80.0,3.0,False
551,Meditite,5.405,53.5,8.5,693,Confusion,Psyshock,307.0,Fighting,Psychic,280.0,30.0,40.0,55.0,40.0,55.0,60.0,3.0,False
552,Mega Abomasnow,15.491,540.8,2010.5,3405,Razor Leaf,Weather Ball Ice,460.0,Grass,Ice,594.0,90.0,132.0,105.0,132.0,105.0,30.0,4.0,False
553,Mega Absol,18.723,368.9,2421.1,3301,Snarl,Return,359.0,Dark,,565.0,65.0,150.0,60.0,115.0,60.0,115.0,3.0,False
554,Mega Aerodactyl,17.782,626.1,3520.7,4118,Rock Throw,Rock Slide,142.0,Rock,Flying,615.0,80.0,135.0,85.0,70.0,95.0,150.0,1.0,False
555,Mega Aggron,14.682,725.2,2295.0,4162,Iron Tail,Heavy Slam,306.0,Steel,,630.0,70.0,140.0,230.0,60.0,80.0,50.0,3.0,False
556,Mega Alakazam,23.061,589.5,7230.5,4366,Confusion,Psychic,65.0,Psychic,,590.0,55.0,50.0,65.0,175.0,95.0,150.0,1.0,False
557,Mega Altaria,13.999,488.0,1339.0,3163,Dragon Breath,Dazzling Gleam,334.0,Dragon,Fairy,590.0,75.0,110.0,110.0,110.0,105.0,80.0,3.0,False
558,Mega Ampharos,16.492,609.3,2732.7,4245,Volt Switch,Zap Cannon,181.0,Electric,Dragon,610.0,90.0,95.0,105.0,165.0,110.0,45.0,2.0,False
559,Mega Audino,9.988,474.5,472.8,2524,Pound,Hyper Beam,531.0,Normal,Fairy,545.0,103.0,60.0,126.0,80.0,126.0,50.0,5.0,False
560,Mega Banette,21.084,498.5,4672.3,3594,Shadow Claw,Shadow Ball,354.0,Ghost,,555.0,64.0,165.0,75.0,93.0,83.0,75.0,3.0,False
561,Mega Beedrill,19.732,437.0,3357.5,3383,Bug Bite,Sludge Bomb,15.0,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,1.0,False
562,Mega Blastoise,18.695,730.1,4770.1,3941,Water Gun,Hydro Cannon,9.0,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,1.0,False
563,Mega Blaziken,23.048,660.0,8081.2,4161,Counter,Blast Burn,257.0,Fire,Fighting,630.0,80.0,160.0,80.0,130.0,80.0,100.0,3.0,False
564,Mega Camerupt,15.57,440.1,1661.0,3220,Incinerate,Earth Power,323.0,Fire,Ground,560.0,70.0,120.0,100.0,145.0,105.0,20.0,3.0,False
565,Mega Charizard X,18.807,657.9,4376.4,3850,Fire Spin,Blast Burn,6.0,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False
566,Mega Charizard Y,21.764,758.0,7814.8,4455,Fire Spin,Blast Burn,6.0,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False
567,Mega Diancie,20.351,590.3,4975.4,4346,Rock Throw,Rock Slide,719.0,Rock,Fairy,700.0,50.0,160.0,110.0,160.0,110.0,110.0,6.0,True
568,Mega Gallade,20.579,708.2,6171.6,4521,Confusion,Psychic,475.0,Psychic,Fighting,618.0,68.0,165.0,95.0,65.0,115.0,110.0,4.0,False
569,Mega Garchomp,21.686,996.6,10163.9,5424,Dragon Tail,Outrage,445.0,Dragon,Ground,700.0,108.0,170.0,115.0,120.0,95.0,92.0,4.0,False
570,Mega Gardevoir,20.582,705.4,6150.5,4512,Confusion,Psychic,282.0,Psychic,Fairy,618.0,68.0,85.0,65.0,165.0,135.0,100.0,3.0,False
